date,tour
2018-02-01,33144
2018-02-02,31549
2018-02-03,31348
2018-02-04,26980
2018-02-05,30188
2018-02-06,19613
2018-02-07,28573
2018-02-08,25004
2018-02-09,28622
2018-02-10,29624
2018-02-11,28209
2018-02-12,27960
2018-02-13,33542
2018-02-14,39630
2018-02-15,42996
2018-02-16,34893
2018-02-17,35593
2018-02-18,39289
2018-02-19,38183
2018-02-20,40373
2018-02-21,40393
2018-02-22,39885
2018-02-23,40801
2018-02-24,40291
2018-02-25,39635
2018-02-26,38107
2018-02-27,37118
2018-02-28,37639
2018-03-01,42353
2018-03-02,34957
2018-03-03,29847
2018-03-04,32953
2018-03-05,32222
2018-03-06,29834
2018-03-07,26562
2018-03-08,31502
2018-03-09,36149
2018-03-10,37236
2018-03-11,33189
2018-03-12,33141
2018-03-13,32049
2018-03-14,31758
2018-03-15,36115
2018-03-16,38429
2018-03-17,39376
2018-03-18,35826
2018-03-19,35369
2018-03-20,33676
2018-03-21,36540
2018-03-22,38839
2018-03-23,40935
2018-03-24,42858
2018-03-25,37432
2018-03-26,38695
2018-03-27,36931
2018-03-28,39566
2018-03-29,40521
2018-03-30,42909
2018-03-31,42911
2018-04-01,38446
2018-04-02,42441
2018-04-03,42402
2018-04-04,40732
2018-04-05,43487
2018-04-06,45248
2018-04-07,44485
2018-04-08,41360
2018-04-09,43667
2018-04-10,41537
2018-04-11,42865
2018-04-12,44623
2018-04-13,45239
2018-04-14,44130
2018-04-15,42312
2018-04-16,41770
2018-04-17,40355
2018-04-18,42735
2018-04-19,44526
2018-04-20,47077
2018-04-21,43603
2018-04-22,40347
2018-04-23,41902
2018-04-24,41627
2018-04-25,45871
2018-04-26,45844
2018-04-27,48680
2018-04-28,49909
2018-04-29,45634
2018-04-30,41603
2018-05-01,39201
2018-05-02,39325
2018-05-03,42710
2018-05-04,48626
2018-05-05,52961
2018-05-06,36587
2018-05-07,36575
2018-05-08,40998
2018-05-09,40805
2018-05-10,40211
2018-05-11,42168
2018-05-12,44651
2018-05-13,40436
2018-05-14,43622
2018-05-15,43255
2018-05-16,41802
2018-05-17,44179
2018-05-18,46633
2018-05-19,49533
2018-05-20,42593
2018-05-21,35632
2018-05-22,33234
2018-05-23,38643
2018-05-24,40806
2018-05-25,42111
2018-05-26,45671
2018-05-27,42615
2018-05-28,44161
2018-05-29,42356
2018-05-30,41429
2018-05-31,40214
2018-06-01,45083
2018-06-02,48463
2018-06-03,45700
2018-06-04,43820
2018-06-05,42768
2018-06-06,44434
2018-06-07,40274
2018-06-08,41424
2018-06-09,46153
2018-06-10,44112
2018-06-11,41626
2018-06-12,40707
2018-06-13,44441
2018-06-14,41141
2018-06-15,41543
2018-06-16,43319
2018-06-17,43208
2018-06-18,43444
2018-06-19,41555
2018-06-20,44490
2018-06-21,44349
2018-06-22,44935
2018-06-23,45406
2018-06-24,43043
2018-06-25,43681
2018-06-26,41451
2018-06-27,38419
2018-06-28,39680
2018-06-29,35345
2018-06-30,33912
2018-07-01,31614
