month,kpi,population,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-02,105.31,659189,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-03,104.98,660441,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-04,105.2,661511,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-05,105.5,662633,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06,105.27,663526,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07,104.99,664579,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-08,105.66,665517,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-09,106.7,666151,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-10,106.59,666686,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-11,105.47,667064,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-12,104.89,667191,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-01,104.91,667337,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02,105.3,667522,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-03,105.11,668120,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-04,105.56,668648,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05,106.03,669328,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06,105.8,669771,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07,105.55,670209,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-08,105.91,670521,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09,106.5,670610,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-10,106.71,670738,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11,105.85,670895,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-12,105.93,670989,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-01,106.86,670749,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-02,106.69,670876,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-03,106.03,670508,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-04,105.35,670595,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-05,105.18,670798,,,,,,,,,,,,,,,,,,,,,,,,,,,
