,date,smp_max,smp_min,smp_mean,temp,max_temp,min_temp,ws,prec,humid,angry,body_temp,tour,supply,pc1,pc2,period,kpi,population
0,2018-02-01,150.65,116.84,132.71,4.3,8.5,1.1,3.9,0.0,0.601,43.7,1.9,33144,87.47,24.8526817949741,1.0778208660179518,winter,105.31,659189.0
1,2018-02-02,163.86,116.84,134.19,3.8,8.3,0.6,4.3,0.0,0.5529999999999999,43.5,1.0,31549,86.64,25.689007979570643,1.710714102379296,winter,105.2982142857143,659234.0
2,2018-02-03,164.07,116.85,131.39,1.3,4.9,-1.2,6.9,0.0,0.6729999999999999,38.6,-2.8,31348,88.28,32.338565142635325,1.848698727635144,winter,105.28642857142857,659278.0
3,2018-02-04,171.0,115.76,131.89,-1.0,1.0,-3.2,7.0,0.1,0.72,34.4,-5.8,26980,86.14,37.978982218214874,1.8045256005634398,winter,105.27464285714287,659323.0
4,2018-02-05,170.34,123.89,137.96,-0.1,2.6,-3.4,6.5,0.2,0.7120000000000001,35.9,-4.3,30188,90.63,35.708875696736165,1.4870309032548417,winter,105.26285714285714,659368.0
5,2018-02-06,167.99,119.11,140.06,-0.9,2.0,-3.2,6.2,0.2,0.73,34.4,-5.3,19613,91.18,37.67685574371831,1.4141792441236063,winter,105.25107142857144,659413.0
6,2018-02-07,141.07,124.11,132.76,0.6,5.4,-2.4,3.2,0.0,0.716,36.9,-1.9,28573,90.09,33.432518408571525,0.21545475696256644,winter,105.23928571428571,659457.0
7,2018-02-08,147.42,116.84,132.91,2.5,7.9,-2.1,2.4,0.2,0.784,39.0,0.7,25004,87.57,29.703239239770237,-0.71855452554422,winter,105.2275,659502.0
8,2018-02-09,150.7,116.84,126.95,6.2,10.1,1.5,2.6,0.0,0.6459999999999999,46.0,4.8,28622,81.63,20.824852941359328,0.049120517354097816,winter,105.21571428571428,659547.0
9,2018-02-10,147.2,116.34,130.1,5.9,9.5,2.1,4.0,0.1,0.7,45.2,3.9,29624,83.0,22.003778172071517,0.2597905346751932,winter,105.20392857142858,659591.0
10,2018-02-11,149.81,116.91,127.0,2.3,5.0,0.3,7.0,0.0,0.556,41.4,-1.7,28209,82.75,29.285043004422157,2.6456601618579856,winter,105.19214285714285,659636.0
11,2018-02-12,167.78,124.68,138.91,1.9,3.9,-1.7,7.5,0.0,0.593,40.5,-2.4,27960,89.2,30.48014455635621,2.661653558068154,winter,105.18035714285715,659681.0
12,2018-02-13,146.75,126.95,132.89,4.8,8.4,1.6,5.0,0.0,0.46,45.8,2.0,33542,85.22,23.04904093904646,2.2608272821018764,winter,105.16857142857143,659726.0
13,2018-02-14,168.73,116.84,132.9,9.8,14.8,2.7,4.9,0.0,0.705,51.1,8.0,39630,75.44,13.830343076796806,0.2839978086648681,winter,105.15678571428572,659770.0
14,2018-02-15,142.71,116.62,129.99,8.2,12.5,4.4,3.5,0.0,0.72,48.7,6.6,42996,74.21,17.02426293832599,0.07741017803558366,winter,105.14500000000001,659815.0
15,2018-02-16,137.18,51.12,121.13,6.6,11.4,2.9,3.5,0.0,0.597,47.0,4.7,34893,74.96,19.966904483368367,0.6925463940628445,winter,105.13321428571429,659860.0
